Step,AuT-RS-HM,AuT-RS-LM
0,0.6808473495963359,0.6808457372141082
1,0.7776297263965527,0.777636927
2,0.7875204455872936,0.7843022620696403
3,0.7905089420949707,0.7898556767343479
4,0.7853539369361459,0.7891046848111362
5,0.7860364511947271,0.7916406337698451
6,0.7822596661701051,0.7901999293240014
7,0.7842666671238531,0.7923426883591285
8,0.7801588360367869,0.7899965464925105
9,0.7806276733236415,0.7914758295226921
10,0.7794583714560751,0.7903007
11,0.7798715734450942,0.7906708530473103
12,0.7759917757406446,0.7888685540019481
13,0.7785293201863066,0.7935752148463191
14,0.775194627,0.7900767933284942
15,0.7731741391588809,0.7880488311647645