Step,CoN-RS-SLR,CoN-RS-BLR
0,0.784541439,0.7699900176638622
1,0.7912651979919293,0.78748117
2,0.7756783725288947,0.7925514312730338
3,0.7651753836103697,0.7962683232620494
4,0.7582125687617188,0.7979626588035129
5,0.755726084,0.8009113730105906
6,0.7477531081827955,0.8001691375993792
7,0.7502383762517016,0.79888209
8,0.7403943311624356,0.7989642967624849
9,0.7364025960935154,0.8002671748670981
10,0.7372502884583176,0.7993023007293093
11,0.7261595988790919,0.7975132623873739
12,0.7265421937440997,0.7958834753891887
13,0.7176352874184606,0.7941123669900779
14,0.7219217269011656,0.7931454118170772
15,0.7116334043871472,0.7920204341808191