Step,CoN-RS-HM,CoN-RS-LM
0,0.7699894386083023,0.7699900176638622
1,0.795217842,0.78748117
2,0.8000706061470002,0.7925514312730338
3,0.7981218732762437,0.7962683232620494
4,0.794490061,0.7979626588035129
5,0.7970800672967887,0.8009113730105906
6,0.7884546625306708,0.8001691375993792
7,0.7877146122707057,0.79888209
8,0.7807812124599521,0.7989642967624849
9,0.7763654062643134,0.8002671748670981
10,0.7715518594602294,0.7993023007293093
11,0.7692239219056101,0.7975132623873739
12,0.7672072856439159,0.7958834753891887
13,0.7652775694023878,0.7941123669900779
14,0.7637481142568476,0.7931454118170772
15,0.7609346895199275,0.7920204341808191