Step,HuB-B-RS-SLR,HuB-B-RS-BLR
0,0.636310172,0.636310172
1,0.6196944938912586,0.6190135598260512
2,0.6718374305687054,0.6580198769697556
3,0.6843437840023874,0.6700611129057044
4,0.6789216552157564,0.6687324784528763
5,0.682460012,0.6754321896497193
6,0.6813791903059883,0.6776220420367892
7,0.6790731732611522,0.68194885
8,0.6816696658612325,0.6837310312646324
9,0.6820912880223743,0.6861606241017174
10,0.6792020274301769,0.6888221731971933
11,0.6822267956229074,0.6921745539683077
12,0.6800449370641185,0.6925297006054195
13,0.6807482507080932,0.6911065759499416
14,0.6807427976924747,0.6891680748716488
15,0.6810484175363298,0.6880034037697054
16,0.6764489245681379,0.6844744432689542
17,0.6756910781030754,0.6848353496417365
18,0.6769768155672454,0.6866919068001284
19,0.6762826158873508,0.684897266
20,0.6773885578635681,0.685521044